year,month,lgdp,ffr,lemp,lsp,epu
1900,1,,,,1.8082888,
1900,2,,,,1.8261609,
1900,3,,,,1.8341802,
1900,4,,,,1.8468788,
1900,5,,,,1.798404,
1900,6,,,,1.7681496,
1900,7,,,,1.7681496,
1900,8,,,,1.7817092,
1900,9,,,,1.7578579,
1900,10,,,,1.7934248,
1900,11,,,,1.8687205,
1900,12,,,,1.9271641,
1901,1,,,,1.9558605,
1901,2,,,,1.9810015,
1901,3,,,,2.0162356,
1901,4,,,,2.0967903,
1901,5,,,,2.0451088,
1901,6,,,,2.1400661,
1901,7,,,,2.070653,
1901,8,,,,2.084429,
1901,9,,,,2.0794415,
1901,10,,,,2.0681279,
1901,11,,,,2.0893919,
1901,12,,,,2.0731719,
1902,1,,,,2.0943301,
1902,2,,,,2.1029139,
1902,3,,,,2.1041341,
1902,4,,,,2.1377103,
1902,5,,,,2.1353493,
1902,6,,,,2.1294215,
1902,7,,,,2.1517622,
1902,8,,,,2.1781549,
1902,9,,,,2.1804175,
1902,10,,,,2.1482677,
1902,11,,,,2.1090002,
1902,12,,,,2.0856721,
1903,1,,,,2.1353493,
1903,2,,,,2.1294215,
1903,3,,,,2.0893919,
1903,4,,,,2.0476928,
1903,5,,,,2.0281482,
1903,6,,,,1.9712994,
1903,7,,,,1.9387417,
1903,8,,,,1.8916048,
1903,9,,,,1.8671761,
1903,10,,,,1.8341802,
1903,11,,,,1.83737,
1903,12,,,,1.8825139,
1904,1,,,,1.8991179,
1904,2,,,,1.8718022,
1904,3,,,,1.8687205,
1904,4,,,,1.8931119,
1904,5,,,,1.8718022,
1904,6,,,,1.8733395,
1904,7,,,,1.9139771,
1904,8,,,,1.9473377,
1904,9,,,,1.9906104,
1904,10,,,,2.0476928,
1904,11,,,,2.1004689,
1904,12,,,,2.1102133,
1905,1,,,,2.1317968,
1905,2,,,,2.1747518,
1905,3,,,,2.2027647,
1905,4,,,,2.1905355,
1905,5,,,,2.1400661,
1905,6,,,,2.1517622,
1905,7,,,,2.1826749,
1905,8,,,,2.2192035,
1905,9,,,,2.2224591,
1905,10,,,,2.2364452,
1905,11,,,,2.2310891,
1905,12,,,,2.2554934,
1906,1,,,,2.2894998,
1906,2,,,,2.2823825,
1906,3,,,,2.2575877,
1906,4,,,,2.2438962,
1906,5,,,,2.2170272,
1906,6,,,,2.2300143,
1906,7,,,,2.2038691,
1906,8,,,,2.275214,
1906,9,,,,2.3055806,
1906,10,,,,2.2995806,
1906,11,,,,2.2955606,
1906,12,,,,2.2864556,
1907,1,,,,2.2575877,
1907,2,,,,2.225704,
1907,3,,,,2.1222615,
1907,4,,,,2.1270406,
1907,5,,,,2.0918641,
1907,6,,,,2.0592389,
1907,7,,,,2.0967903,
1907,8,,,,2.0188951,
1907,9,,,,2.008214,
1907,10,,,,1.8931119,
1907,11,,,,1.8325815,
1907,12,,,,1.8825139,
1908,1,,,,1.9242487,
1908,2,,,,1.8870696,
1908,3,,,,1.9271641,
1908,4,,,,1.9796212,
1908,5,,,,2.0320878,
1908,6,,,,2.0333977,
1908,7,,,,2.0693913,
1908,8,,,,2.1114247,
1908,9,,,,2.1004689,
1908,10,,,,2.1126347,
1908,11,,,,2.1781549,
1908,12,,,,2.2005522,
1909,1,,,,2.2038691,
1909,2,,,,2.1747518,
1909,3,,,,2.1882958,
1909,4,,,,2.2321627,
1909,5,,,,2.2648833,
1909,6,,,,2.2823825,
1909,7,,,,2.296567,
1909,8,,,,2.320425,
1909,9,,,,2.3214068,
1909,10,,,,2.3253245,
1909,11,,,,2.320425,
1909,12,,,,2.332144,
1910,1,,,,2.3105533,
1910,2,,,,2.2741857,
1910,3,,,,2.2985771,
1910,4,,,,2.2741857,
1910,5,,,,2.2575877,
1910,6,,,,2.2082744,
1910,7,,,,2.1564026,
1910,8,,,,2.1804175,
1910,9,,,,2.1871743,
1910,10,,,,2.2321627,
1910,11,,,,2.2310891,
1910,12,,,,2.2027647,
1911,1,,,,2.2267835,
1911,2,,,,2.2438962,
1911,3,,,,2.2321627,
1911,4,,,,2.2278614,
1911,5,,,,2.2491844,
1911,6,,,,2.2690284,
1911,7,,,,2.2648833,
1911,8,,,,2.2159374,
1911,9,,,,2.1598687,
1911,10,,,,2.1656194,
1911,11,,,,2.2049723,
1911,12,,,,2.2093728,
1912,1,,,,2.2104697,
1912,2,,,,2.2016592,
1912,3,,,,2.2300143,
1912,4,,,,2.260721,
1912,5,,,,2.2575877,
1912,6,,,,2.2596776,
1912,7,,,,2.260721,
1912,8,,,,2.2834022,
1912,9,,,,2.2884862,
1912,10,,,,2.2864556,
1912,11,,,,2.275214,
1912,12,,,,2.2385798,
1913,1,,,,2.2300143,
1913,2,,,,2.1938858,
1913,3,,,,2.1747518,
1913,4,,,,2.1736147,
1913,5,,,,2.1459312,
1913,6,,,,2.0943301,
1913,7,,,,2.1077859,
1913,8,,,,2.1341665,
1913,9,,,,2.1435893,
1913,10,,,,2.1114247,
1913,11,,,,2.0856721,
1913,12,,,,2.084429,
1914,1,,,,2.1246538,
1914,2,,,,2.1377103,
1914,3,,,,2.1186621,
1914,4,,,,2.0943301,
1914,5,,,,2.1004689,
1914,6,,,,2.095561,
1914,7,,,,2.0386195,
1914,8,,,,1.9473377,
1914,9,,,,1.9473377,
1914,10,,,,1.8913031,
1914,11,,5.75,,1.9290546,
1914,12,,5.4000001,,1.9947003,
1915,1,,4.75,,2.0122328,
1915,2,,4.1900001,,1.9987737,
1915,3,,4,,2.024193,
1915,4,,4,,2.0967903,
1915,5,,4,,2.0731719,
1915,6,,3.96,,2.084429,
1915,7,,3.75,,2.0806909,
1915,8,,3.75,,2.1222615,
1915,9,,3.75,,2.1587148,
1915,10,,3.75,,2.2126603,
1915,11,,3.75,,2.2470725,
1915,12,,3.75,,2.2491844,
1916,1,,3.75,,2.2332351,
1916,2,,3.75,,2.2192035,
1916,3,,3.75,,2.2159374,
1916,4,,3.75,,2.2049723,
1916,5,,3.75,,2.2267835,
1916,6,,3.75,,2.2364452,
1916,7,,3.75,,2.2224591,
1916,8,,3.75,,2.2300143,
1916,9,,3.75,,2.270062,
1916,10,,3.75,,2.3005831,
1916,11,,3.75,,2.3233676,
1916,12,,3.75,,2.2823825,
1917,1,,3.75,,2.2575877,
1917,2,,3.75,,2.2005522,
1917,3,,3.75,,2.2310891,
1917,4,,3.75,,2.2159374,
1917,5,,3.75,,2.1815467,
1917,6,,3.75,,2.2016592,
1917,7,,3.75,,2.1736147,
1917,8,,3.75,,2.1435893,
1917,9,,3.75,,2.0943301,
1917,10,,3.75,,2.0386195,
1917,11,,3.75,,1.9516082,
1917,12,,3.9300001,,1.9169227,
1918,1,,4.25,,1.9753857,
1918,2,,4.25,,2.0050514,
1918,3,,4.25,,1.9858587,
1918,4,,4.5100002,,1.9757117,
1918,5,,4.5599999,,2.0056067,
1918,6,,4.5599999,,2.008214,
1918,7,,4.5599999,,2.0150549,
1918,8,,4.5599999,,2.0254374,
1918,9,,4.5599999,,2.0207691,
1918,10,,4.5599999,,2.0610356,
1918,11,,4.5599999,,2.0860355,
1918,12,,4.5599999,,2.0655177,
1919,1,1.580668,4.5599999,,2.0608861,
1919,2,1.5354683,4.5599999,,2.064255,
1919,3,1.5061197,4.5599999,,2.0940406,
1919,4,1.5238364,4.5599999,,2.1273885,
1919,5,1.5296586,4.5599999,,2.1932945,
1919,6,1.5916609,4.5599999,,2.2143958,
1919,7,1.6500231,4.5599999,,2.2526531,
1919,8,1.6653645,4.5599999,,2.1820772,
1919,9,1.644863,4.5599999,,2.1988592,
1919,10,1.6344427,4.5599999,,2.2476916,
1919,11,1.6186157,4.7399998,,2.2185619,
1919,12,1.6344427,4.75,,2.1880312,
1920,1,1.7244973,5.1100001,,2.1770899,
1920,2,1.7244973,6,,2.0940378,
1920,3,1.7051843,6,,2.1602077,
1920,4,1.6500231,6,,2.1524451,
1920,5,1.675469,6,,2.0867677,
1920,6,1.6854726,7,,2.0693913,
1920,7,1.6602831,7,,2.0679791,
1920,8,1.6653645,7,,2.0285363,
1920,9,1.6291817,7,,2.0619366,
1920,10,1.5861694,7,,2.0638804,
1920,11,1.5001585,7,,2.012156,
1920,12,1.4384124,7,,1.9245085,
1921,1,1.3793705,7,,1.9605067,
1921,2,1.3588974,7,,1.9534425,
1921,3,1.3309138,7,,1.9279324,
1921,4,1.3309138,7,,1.9315214,
1921,5,1.3588974,6.5599999,,1.9621631,
1921,6,1.3519875,6.25,,1.8799107,
1921,7,1.3450035,5.8200002,,1.8758632,
1921,8,1.3793705,5.5,,1.8636242,
1921,9,1.3861194,5.3499999,,1.8879594,
1921,10,1.4447519,5,,1.9012303,
1921,11,1.4320322,4.5300002,,1.9542807,
1921,12,1.4255872,4.5,,1.9882715,
1922,1,1.4635794,4.5,,1.9874736,
1922,2,1.506142,4.5,,2.009398,
1922,3,1.558313,4.5,,2.0480721,
1922,4,1.5238364,4.5,,2.1052067,
1922,5,1.5751156,4.5,,2.1432424,
1922,6,1.6239126,4.3499999,,2.1334679,
1922,7,1.6239126,4,,2.1407571,
1922,8,1.602514,4,,2.1766205,
1922,9,1.6551758,4,,2.2040651,
1922,10,1.7100432,4,,2.2249398,
1922,11,1.7528107,4,,2.1752834,
1922,12,1.7803277,4,,2.1717386,
1923,1,1.757444,4,,2.1845942,
1923,2,1.7712336,4.1100001,,2.2284298,
1923,3,1.8026994,4.5,,2.2428987,
1923,4,1.8245815,4.5,,2.2079501,
1923,5,1.8374815,4.5,,2.1596658,
1923,6,1.8289107,4.5,,2.1219082,
1923,7,1.8202497,4.5,,2.0874965,
1923,8,1.8026994,4.5,,2.0917208,
1923,9,1.7803277,4.5,,2.0983799,
1923,10,1.7757995,4.5,,2.0829628,
1923,11,1.7757995,4.5,,2.1130607,
1923,12,1.7528107,4.5,,2.1465485,
1924,1,1.7757995,4.5,,2.1780899,
1924,2,1.7938074,4.5,,2.1834044,
1924,3,1.7757995,4.5,,2.1621015,
1924,4,1.7434617,4.5,,2.139719,
1924,5,1.7002836,4,,2.1372948,
1924,6,1.6551567,3.6800001,,2.154222,
1924,7,1.6396567,3.5,,2.1998351,
1924,8,1.675469,3.1099999,,2.2341163,
1924,9,1.7100432,3,,2.2240481,
1924,10,1.7340244,3,,2.2108562,
1924,11,1.7528107,3,,2.2651246,
1924,12,1.7803277,3,,2.3175287,
1925,1,1.8115131,3,,2.357795,
1925,2,1.8115131,3.04,,2.3672159,
1925,3,1.8115131,3.5,,2.3406725,
1925,4,1.8202497,3.5,,2.3310001,
1925,5,1.8158828,3.5,,2.36113,
1925,6,1.8071241,3.5,,2.3795462,
1925,7,1.8332052,3.5,,2.4058838,
1925,8,1.8158828,3.5,,2.4194789,
1925,9,1.8026994,3.5,,2.4428577,
1925,10,1.8417553,3.5,,2.4743111,
1925,11,1.862808,3.5,,2.5062473,
1925,12,1.8752271,3.5,,2.5274408,
1926,1,1.8586234,3.8900001,,2.5376573,
1926,2,1.8586234,4,,2.5388422,
1926,3,1.8711096,4,,2.4689467,
1926,4,1.8711096,3.8699999,,2.435585,
1926,5,1.862808,3.5,,2.4503152,
1926,6,1.8752271,3.5,,2.4940314,
1926,7,1.8793277,3.5,,2.5301986,
1926,8,1.8915596,3.8099999,,2.5739472,
1926,9,1.9076147,4,,2.5894544,
1926,10,1.9076147,4,,2.5664866,
1926,11,1.9036287,4,,2.5790799,
1926,12,1.8996269,4,,2.6018004,
1927,1,1.8955938,4,,2.5950682,
1927,2,1.9036287,4,,2.6142888,
1927,3,1.915554,4,,2.6299086,
1927,4,1.8915596,4,,2.6542275,
1927,5,1.8996269,4,,2.6878474,
1927,6,1.8955938,4,,2.7008576,
1927,7,1.8834267,4,,2.7226105,
1927,8,1.8834267,3.5599999,,2.7741499,
1927,9,1.8669597,3.5,,2.8267217,
1927,10,1.8459951,3.5,,2.8194723,
1927,11,1.8459951,3.5,,2.8364434,
1927,12,1.8502327,3.5,,2.8601418,
1928,1,1.8711096,3.5,,2.8636854,
1928,2,1.8793277,3.97,,2.8517113,
1928,3,1.8874937,4,,2.9039824,
1928,4,1.8834267,4,,2.9651794,
1928,5,1.8955938,4.23,,2.9959369,
1928,6,1.9036287,4.5,,2.9453092,
1928,7,1.915554,4.8099999,,2.952971,
1928,8,1.9351236,5,,2.9847836,
1928,9,1.9428483,5,,3.0524867,
1928,10,1.9618959,5,,3.072907,
1928,11,1.9805876,5,,3.1379807,
1928,12,1.9989362,5,,3.1419775,
1929,1,2.0133817,5,,3.2132909,
1929,2,2.0097833,5,,3.2183156,
1929,3,2.0133817,5,,3.2361097,
1929,4,2.0311437,5,,3.2299678,
1929,5,2.0485957,5,,3.2450082,
1929,6,2.0554945,5,,3.2636657,
1929,7,2.0691388,5,,3.3492291,
1929,8,2.0589199,5.7399998,,3.4045889,
1929,9,2.0520446,6,,3.4437644,
1929,10,2.0346534,6,,3.3318336,
1929,11,1.9842788,4.73,,3.0244055,
1929,12,1.9390006,4.5,,3.063503,
1930,1,1.9390006,4.5,,3.0775714,
1930,2,1.9351236,4.1100001,,3.1385403,
1930,3,1.9194928,3.71,,3.1758189,
1930,4,1.9115996,3.5,,3.2372408,
1930,5,1.8955938,3.02,,3.1756573,
1930,6,1.8669597,2.8199999,,3.0691419,
1930,7,1.8202497,2.5,,3.0477319,
1930,8,1.7982715,2.5,,3.0348024,
1930,9,1.7803277,2.5,,3.0337408,
1930,10,1.7528107,2.5,,2.8860776,
1930,11,1.7292811,2.5,,2.8105922,
1930,12,1.7051843,2.3699999,,2.7418957,
1931,1,1.7002836,2,,2.7715766,
1931,2,1.7051843,2,,2.8452439,
1931,3,1.7244973,2,,2.863833,
1931,4,1.7292811,2,,2.7636385,
1931,5,1.7148784,1.61,,2.662374,
1931,6,1.6904279,1.5,,2.6301043,
1931,7,1.675469,1.5,,2.6623597,
1931,8,1.6396567,1.5,,2.6320567,
1931,9,1.5916609,1.5,,2.4705386,
1931,10,1.5526559,2.76,,2.3272724,
1931,11,1.5412233,3.5,,2.3409894,
1931,12,1.5354469,3.5,,2.1330762,
1932,1,1.5061197,3.5,,2.1165287,
1932,2,1.4820362,3.4300001,,2.1077442,
1932,3,1.469762,3,,2.1113467,
1932,4,1.3994573,3,,1.8367941,
1932,5,1.3657855,3,,1.7070822,
1932,6,1.3309138,2.8800001,,1.5617173,
1932,7,1.3021516,2.5,,1.6110101,
1932,8,1.3309138,2.5,,2.0195239,
1932,9,1.3927982,2.5,,2.1114783,
1932,10,1.4255872,2.5,,1.9637417,
1932,11,1.4255872,2.5,,1.9526173,
1932,12,1.4060479,2.5,,1.9199158,
1933,1,1.3861194,2.5,,1.9587805,
1933,2,1.3927982,2.5,,1.8319863,
1933,3,1.3309138,3.4400001,,1.8285975,
1933,4,1.3994573,3.0999999,,1.9301026,
1933,5,1.5526559,2.9000001,,2.1832085,
1933,6,1.695377,2.5,,2.3411646,
1933,7,1.7848356,2.5,,2.4188552,
1933,8,1.7434617,2.5,,2.3678174,
1933,9,1.6854726,2.5,,2.3591018,
1933,10,1.6344427,2.3099999,,2.2564483,
1933,11,1.5751156,2,,2.2799757,
1933,12,1.580668,2,,2.2996082,
1934,1,1.6132705,2,,2.3556926,
1934,2,1.6602831,1.52,,2.4265826,
1934,3,1.7051843,1.5,,2.3742609,
1934,4,1.7051843,1.5,,2.3903556,
1934,5,1.7244973,1.5,,2.2851412,
1934,6,1.7051843,1.5,,2.296365,
1934,7,1.6344427,1.5,,2.2479169,
1934,8,1.6239126,1.5,,2.2077839,
1934,9,1.5639592,1.5,,2.1836402,
1934,10,1.6079168,1.5,,2.1921721,
1934,11,1.6186157,1.5,,2.219974,
1934,12,1.6804926,1.5,,2.2260253,
1935,1,1.757444,1.5,,2.22558,
1935,2,1.7757995,1.5,,2.195045,
1935,3,1.7712336,1.5,,2.1295021,
1935,4,1.7528107,1.5,,2.2016366,
1935,5,1.7528107,1.5,,2.2775698,
1935,6,1.7666638,1.5,,2.3144164,
1935,7,1.7666638,1.5,,2.3659396,
1935,8,1.8026994,1.5,,2.4314706,
1935,9,1.8289107,1.5,,2.4516392,
1935,10,1.8586234,1.5,,2.4780688,
1935,11,1.8793277,1.5,,2.5683296,
1935,12,1.8915596,1.5,,2.5682752,
1936,1,1.8752271,1.5,,2.6217957,
1936,2,1.8502327,1.5,,2.6779506,
1936,3,1.862808,1.5,,2.6986082,
1936,4,1.9234308,1.5,,2.7004304,
1936,5,1.9428483,1.5,,2.6454058,
1936,6,1.9618959,1.5,,2.6875281,
1936,7,1.9805876,1.5,,2.7447007,
1936,8,1.9952987,1.5,,2.764657,
1936,9,2.0133817,1.5,,2.7759697,
1936,10,2.0276086,1.5,,2.8270161,
1936,11,2.0554945,1.5,,2.8540547,
1936,12,2.0859454,1.5,,2.8370874,
1937,1,2.0826116,1.5,,2.8673415,
1937,2,2.0958929,1.5,,2.8964462,
1937,3,2.1187344,1.5,,2.8957334,
1937,4,2.1187344,1.5,,2.8341873,
1937,5,2.1219621,1.5,,2.7883499,
1937,6,2.1090124,1.5,,2.7502885,
1937,7,2.1155083,1.5,,2.8076711,
1937,8,2.1090124,1.42,,2.8178911,
1937,9,2.0758977,1,,2.6652312,
1937,10,1.9989362,1,,2.5085125,
1937,11,1.8955938,1,,2.4158921,
1937,12,1.8026994,1,,2.3995938,
1938,1,1.7803277,1,,2.4256728,
1938,2,1.7712336,1,,2.4012084,
1938,3,1.7712336,1,,2.3334045,
1938,4,1.7528107,1,,2.2914901,
1938,5,1.7292811,1,,2.299861,
1938,6,1.7387453,1,,2.323626,
1938,7,1.7938074,1,,2.5049798,
1938,8,1.8459951,1,,2.5101397,
1938,9,1.8752271,1,,2.4640782,
1938,10,1.8996269,1,,2.5693927,
1938,11,1.9390006,1,,2.5703843,
1938,12,1.9505138,1,,2.5406609,
1939,1,1.9505138,1,,2.5259545,
1939,2,1.9581209,1,,2.5178654,
1939,3,1.9618959,1,,2.5165994,
1939,4,1.9581209,1,,2.3824327,
1939,5,1.9543176,1,,2.418787,
1939,6,1.9768827,1,,2.4364908,
1939,7,2.0061851,1,,2.4601703,
1939,8,2.0205271,1,,2.4460025,
1939,9,2.0792539,1,,2.5475931,
1939,10,2.1283746,1,,2.5570908,
1939,11,2.1536093,1,,2.5393255,
1939,12,2.1536093,1,,2.5150921,
1940,1,2.1410656,1,,2.5096731,
1940,2,2.1090124,1,,2.5031269,
1940,3,2.0859454,1,,2.4971321,
1940,4,2.1057549,1,,2.5071104,
1940,5,2.1347344,1,,2.3589494,
1940,6,2.1659861,1,,2.2694986,
1940,7,2.1782229,1,,2.3020372,
1940,8,2.1842856,1,,2.3221953,
1940,9,2.2052147,1,,2.3639498,
1940,10,2.2198989,1,,2.3732235,
1940,11,2.2429519,1,,2.3964393,
1940,12,2.2765696,1,,2.3549304,
1941,1,2.301064,1,,2.3566122,
1941,2,2.3302002,1,,2.2917054,
1941,3,2.361052,1,,2.2978644,
1941,4,2.3635767,1,,2.2658975,
1941,5,2.4080346,1,,2.243881,
1941,6,2.4152529,1,,2.2785695,
1941,7,2.4271717,1,,2.3288784,
1941,8,2.4389501,1,,2.3238633,
1941,9,2.4389501,1,,2.3264785,
1941,10,2.4482772,1,,2.2844501,
1941,11,2.4529085,1,,2.2374811,
1941,12,2.4689381,1,,2.1703289,
1942,1,2.4891891,1,,2.1887271,
1942,2,2.5068476,1,,2.1577694,
1942,3,2.5177288,1,,2.1012218,
1942,4,2.4891891,1,,2.0589325,
1942,5,2.4914105,1,,2.0701485,
1942,6,2.4936352,1,,2.1196327,
1942,7,2.5177288,1,,2.1567142,
1942,8,2.5475841,1,,2.1507778,
1942,9,2.5704343,1,,2.1612058,
1942,10,2.6027563,1,,2.2319975,
1942,11,2.626334,1,,2.2477927,
1942,12,2.6493683,1,,2.2537584,
1943,1,2.6588109,1,,2.3119016,
1943,2,2.6847885,1,,2.3694363,
1943,3,2.6920834,1,,2.404038,
1943,4,2.7047315,1,,2.4375005,
1943,5,2.7118895,1,,2.4754958,
1943,6,2.7065289,1,,2.4927921,
1943,7,2.7365341,1,,2.5135627,
1943,8,2.7571895,1,,2.4625759,
1943,9,2.7824216,1,,2.4841397,
1943,10,2.7972631,1,,2.4746206,
1943,11,2.8102698,1,,2.4276075,
1943,12,2.7972631,1,,2.4404054,
1944,1,2.8086555,1,,2.4726653,
1944,2,2.8167133,1,,2.4655907,
1944,3,2.8151093,1,,2.4929299,
1944,4,2.8151093,1,,2.4759781,
1944,5,2.8086555,1,,2.4934597,
1944,6,2.8054128,1,,2.5389638,
1944,7,2.8037906,1,,2.5648878,
1944,8,2.8167133,1,,2.5505383,
1944,9,2.8102698,1,,2.5334654,
1944,10,2.8134968,1,,2.5576303,
1944,11,2.8054128,1,,2.5508709,
1944,12,2.8021595,1,,2.5723069,
1945,1,2.7923424,1,,2.6016636,
1945,2,2.7890463,1,,2.6344037,
1945,3,2.7824216,1,,2.6340449,
1945,4,2.763983,1,,2.6588016,
1945,5,2.7365406,1,,2.6960294,
1945,6,2.7136676,1,,2.7137263,
1945,7,2.6902664,1,,2.6933715,
1945,8,2.5806487,1,,2.6963632,
1945,9,2.4869628,1,,2.762511,
1945,10,2.4459493,1,,2.803436,
1945,11,2.482487,1,,2.8354104,
1945,12,2.4869628,1,,2.8523428,
1946,1,2.4295349,1,,2.8913755,
1946,2,2.3786197,1,,2.8942003,
1946,3,2.4779911,1,,2.8641331,
1946,4,2.459811,1,,2.9263823,
1946,5,2.4224193,1,,2.9284165,
1946,6,2.482487,1,,2.9221127,
1946,7,2.5155652,1,,2.8934219,
1946,8,2.5517783,1,,2.8739409,
1946,9,2.5704343,1,,2.7143672,
1946,10,2.5887411,1,,2.6915417,
1946,11,2.5947695,1,,2.6875808,
1946,12,2.6007693,1,,2.7171769,
1947,1,2.6126473,1,,2.7220318,
1947,2,2.6185338,1,,2.7600713,
1947,3,2.6243932,1,,2.7189023,
1947,4,2.6165779,1,,2.68116,
1947,5,2.6204932,1,,2.6629517,
1947,6,2.6204932,1,,2.6979184,
1947,7,2.6146109,1,,2.7581079,
1947,8,2.6204932,1,,2.7381892,
1947,9,2.6282709,1,,2.7119596,
1947,10,2.6379139,1,,2.7373884,
1947,11,2.6512611,1,,2.7259407,
1947,12,2.6550431,1,,2.709986,
1948,1,2.660686,1.16,10.96925,2.6964288,
1948,2,2.6625645,1.25,10.971572,2.646219,
1948,3,2.6512611,1.25,10.96251,2.6605811,
1948,4,2.6531575,1.25,10.973203,2.7345014,
1948,5,2.670023,1.25,10.965678,2.7823281,
1948,6,2.6829512,1.25,10.980927,2.8229363,
1948,7,2.6829512,1.25,10.98475,2.7987659,
1948,8,2.6792734,1.4,10.976029,2.76894,
1948,9,2.6718841,1.5,10.977004,2.7574656,
1948,10,2.6792734,1.5,10.974849,2.7845755,
1948,11,2.6663041,1.5,10.975362,2.7274995,
1948,12,2.6569254,1.5,10.980876,2.7208209,
1949,1,2.6474648,1.5,10.971211,2.731616,
1949,2,2.6379139,1.5,10.971778,2.6925888,
1949,3,2.6185338,1.5,10.96894,2.7023706,
1949,4,2.6126473,1.5,10.963827,2.701107,
1949,5,2.5987709,1.5,10.960444,2.6931708,
1949,6,2.596776,1.5,10.953819,2.6367869,
1949,7,2.5947695,1.5,10.954134,2.6922243,
1949,8,2.6047394,1.5,10.957747,2.7272484,
1949,9,2.6146183,1.5,10.961,2.740155,
1949,10,2.5765738,1.5,10.955515,2.7655756,
1949,11,2.6027563,1.5,10.968353,2.7795486,
1949,12,2.6204932,1.5,10.965523,2.8060818,
1950,1,2.6379139,1.5,10.961885,2.8260584,
1950,2,2.6417465,1.5,10.963896,2.845253,
1950,3,2.6737349,1.5,10.963497,2.8537846,
1950,4,2.7065225,1.5,10.9782,2.8813264,
1950,5,2.7295573,1.5,10.979326,2.9145639,
1950,6,2.7588954,1.5,10.986174,2.9304905,
1950,7,2.7906926,1.5,10.98531,2.8555503,
1950,8,2.8215158,1.59,10.998711,2.914145,
1950,9,2.8151093,1.75,10.994991,2.9488764,
1950,10,2.8215158,1.75,10.998811,2.9891708,
1950,11,2.8199193,1.75,10.997037,2.9869766,
1950,12,2.8373635,1.75,10.992537,2.9831536,
1951,1,2.8405044,1.75,10.996015,3.0544364,
1951,2,2.8467565,1.75,10.996434,3.0910838,
1951,3,2.8514173,1.75,11.008761,3.0740457,
1951,4,2.8529642,1.75,11.000248,3.08729,
1951,5,2.8498681,1.75,11.005228,3.0878556,
1951,6,2.8451943,1.75,10.995747,3.070199,
1951,7,2.8294711,1.75,11.004697,3.0879424,
1951,8,2.8199193,1.75,11.002,3.130795,
1951,9,2.8262954,1.75,10.997305,3.1563284,
1951,10,2.8247068,1.75,11.002267,3.1508276,
1951,11,2.8326366,1.75,10.999363,3.1228054,
1951,12,2.8389382,1.75,11.010349,3.1533513,
1952,1,2.8498623,1.75,11.009737,3.1859219,
1952,2,2.8560562,1.75,11.00977,3.1676373,
1952,3,2.8591392,1.75,11.000566,3.1705256,
